,mir,disease
403,12,2117
404,12,2118
405,12,2120
406,12,2135
407,12,2151
408,12,3456
409,12,3457
410,12,4657
411,12,5150
412,12,7561
413,12,8974
414,12,10684
415,12,11545
416,13,527
417,13,727
418,13,1557
419,13,2135
420,13,2710
421,13,3457
422,13,3988
423,13,4657
424,13,5542
425,13,6468
426,13,6645
427,13,7561
428,13,7817
429,13,7957
430,13,8180
431,13,8945
432,13,8974
433,13,9410
434,13,10376
435,14,527
436,14,727
437,14,1557
438,14,2135
439,14,2710
440,14,3457
441,14,3988
442,14,4657
443,14,5542
444,14,6468
445,14,6645
446,14,7465
447,14,7561
448,14,7817
449,14,7957
450,14,8180
451,14,8693
452,14,8945
453,14,8974
454,14,9410
455,14,10376
456,16,1444
457,17,1557
458,17,2710
459,17,3988
460,17,6645
461,17,8974
462,17,9410
463,17,10376
464,18,1557
465,18,2710
466,18,3988
467,18,6645
468,18,8974
469,18,9410
470,18,10376
471,19,780
472,19,1557
473,19,2135
474,19,4751
475,19,5133
476,19,5542
477,19,5937
478,19,6645
479,19,8180
480,19,9085
481,20,1426
482,20,2135
483,21,1426
484,21,2135
485,22,2116
486,22,2135
487,22,2710
488,22,4126
489,22,4657
490,22,5234
491,22,5463
492,22,6458
493,23,527
494,23,530
495,23,532
496,23,534
497,23,683
498,23,694
499,23,914
500,23,1048
501,23,1080
502,23,1129
503,23,1397
504,23,1557
505,23,2116
506,23,2117
507,23,2120
508,23,2127
509,23,2135
510,23,2143
511,23,2151
512,23,2154
513,23,2159
514,23,2160
515,23,2205
516,23,2225
517,23,2232
518,23,2472
519,23,2519
520,23,2571
521,23,2695
522,23,2710
523,23,3031
524,23,3477
525,23,3876
526,23,4657
527,23,4669
528,23,4748
529,23,4751
530,23,5150
531,23,5231
532,23,5943
533,23,6051
534,23,6225
535,23,6226
536,23,6645
537,23,6679
538,23,7445
539,23,7465
540,23,7561
541,23,7890
542,23,8180
543,23,8250
544,23,8625
545,23,8666
546,23,8693
547,23,8974
548,23,9038
549,23,9410
550,23,9506
551,23,9525
552,23,9583
553,23,9924
554,23,9976
555,23,9982
556,23,10759
557,23,10760
558,23,10761
559,23,10763
560,23,10927
561,23,11216
562,23,11458
563,24,479
564,24,529
565,24,532
566,24,683
567,24,694
568,24,727
569,24,780
570,24,1074
571,24,1080
572,24,1129
573,24,1344
574,24,1363
575,24,1444
576,24,1534
577,24,1557
578,24,2113
579,24,2114
580,24,2116
581,24,2117
582,24,2119
583,24,2120
584,24,2124
585,24,2129
586,24,2135
587,24,2139
588,24,2142
589,24,2151
590,24,2160
591,24,2162
592,24,2232
593,24,2443
594,24,2472
595,24,2494
596,24,2577
597,24,2695
598,24,2710
599,24,2970
600,24,3057
601,24,4016
602,24,4022
603,24,4048
604,24,4126
605,24,4144
606,24,4657
607,24,4669
608,24,4728
609,24,4751
610,24,5133
611,24,5202
612,24,5231
613,24,5242
614,24,5378
615,24,6384
616,24,6431
617,24,6468
618,24,6575
619,24,6588
620,24,6640
621,24,6679
622,24,7445
623,24,7465
624,24,7561
625,24,7688
626,24,7793
627,24,7796
628,24,7890
629,24,8180
630,24,8250
631,24,8666
632,24,8693
633,24,8699
634,24,8971
635,24,8974
636,24,9119
637,24,9229
638,24,9235
639,24,9300
640,24,9410
641,24,9525
642,24,9809
643,24,9860
644,24,9950
645,24,10376
646,24,10760
647,24,10761
648,24,10762
649,24,11148
650,24,11216
651,24,11458
652,26,461
653,26,468
654,26,526
655,26,530
656,26,534
657,26,727
658,26,1048
659,26,1074
660,26,1557
661,26,1610
662,26,2117
663,26,2118
664,26,2119
665,26,2129
666,26,2135
667,26,2142
668,26,2143
669,26,2162
670,26,2401
671,26,2456
672,26,2577
673,26,2695
674,26,2710
675,26,3031
676,26,3446
677,26,3457
678,26,3873
679,26,4323
680,26,4657
681,26,4669
682,26,4741
683,26,4751
684,26,4832
685,26,5117
686,26,5133
687,26,5234
688,26,5349
689,26,6219
690,26,6458
691,26,6468
692,26,6483
693,26,6645
694,26,7465
695,26,7492
696,26,7565
697,26,7796
698,26,7817
699,26,7890
700,26,7956
701,26,7957
702,26,8180
703,26,8239
704,26,8486
705,26,8666
706,26,8693
707,26,8974
708,26,9139
709,26,9235
710,26,9525
711,26,10760
712,26,10762
713,26,10831
714,26,10833
715,26,11238
716,26,11369
717,27,534
718,27,727
719,27,1074
720,27,1080
721,27,1133
722,27,1444
723,27,1557
724,27,2117
725,27,2119
726,27,2135
727,27,2139
728,27,2143
729,27,2170
730,27,2171
731,27,2172
732,27,2176
733,27,2225
734,27,2571
735,27,2777
736,27,2792
737,27,3471
738,27,3994
739,27,4022
740,27,4657
741,27,4748
742,27,4751
743,27,5563
744,27,5943
745,27,6384
746,27,6434
747,27,6458
748,27,6476
749,27,6480
750,27,6645
751,27,6651
752,27,6672
753,27,6682
754,27,7445
